process_key,priority_score,retrain_recommended,triggered_rule_count,avg_risk,p95_risk,critical_rate,avg_risk_delta,p95_risk_delta,high_risk_rate_delta,critical_rate_delta
trucking,5.580923764717324,False,0,49.500083333333336,94.04999999999929,23.60833333333333,0.5718208452621951,0.6666666666666714,-0.6251633569783053,0.6883787085833042
warehouse,3.798333333333334,False,0,49.500083333333336,94.04999999999929,18.991666666666667,0.0,0.0,0.0,0.0
customs,2.4803253474071285,False,0,49.50069995333645,94.75,10.989267382174525,-1.3143135820531595,-0.5500000000000114,2.9644337618002545,-1.3742292820566426
