process_code,cases_analyzed,cases_ok,avg_risk,p95_risk,high_risk_cases_80plus,high_risk_rate_80plus,critical_cases,critical_rate,process_key,avg_risk_delta,p95_risk_delta,high_risk_rate_delta,critical_rate_delta,triggered_rule_count,retrain_recommended,priority_score
TRUCKING_DELIVERY_FLOW,12000,12000,49.500083333333336,94.04999999999929,2400,20.0,2833,23.60833333333333,trucking,0.5718208452621951,0.6666666666666714,-0.6251633569783053,0.6883787085833042,0,False,5.580923764717324
WAREHOUSE_FULFILLMENT,12000,12000,49.500083333333336,94.04999999999929,2400,20.0,2279,18.991666666666667,warehouse,0.0,0.0,0.0,0.0,0,False,3.798333333333334
IMPORT_CUSTOMS_CLEARANCE,4286,4286,49.50069995333645,94.75,858,20.01866542230518,471,10.989267382174525,customs,-1.3143135820531595,-0.5500000000000114,2.9644337618002545,-1.3742292820566426,0,False,2.4803253474071285
