n_estimators,contamination,max_samples,max_features,random_state,anomaly_rate,score_mean,score_std,score_p95,score_p99,top_case_release_gate_alignment,top_case_amendment_loop_alignment,top_case_exam_escalation_alignment,top_case_case_file_path_alignment
150,0.1,0.8,0.8,99,0.100093,0.427971,0.049694,0.532984,0.608699,0.672897,1.0,1.0,1.0
150,0.1,0.8,0.8,123,0.100093,0.423795,0.04874,0.527734,0.599528,0.649533,1.0,1.0,1.0
250,0.03,auto,1.0,42,0.030098,0.44757,0.06318,0.591782,0.660349,0.817757,1.0,1.0,1.0
250,0.03,auto,1.0,99,0.030098,0.450805,0.062137,0.59157,0.662158,0.817757,1.0,1.0,1.0
250,0.03,auto,1.0,123,0.030098,0.448667,0.063641,0.596262,0.667468,0.82243,1.0,1.0,1.0
250,0.03,auto,0.8,42,0.030098,0.449234,0.061741,0.592031,0.663509,0.803738,1.0,1.0,1.0
250,0.03,auto,0.8,99,0.030098,0.447533,0.062348,0.591833,0.662323,0.803738,1.0,1.0,1.0
250,0.03,auto,0.8,123,0.030098,0.449392,0.062326,0.586306,0.658249,0.785047,1.0,1.0,1.0
250,0.03,0.8,1.0,42,0.030098,0.424499,0.050857,0.534111,0.603511,0.658879,1.0,1.0,1.0
250,0.03,0.8,1.0,99,0.030098,0.424242,0.051226,0.535063,0.603809,0.654206,1.0,1.0,1.0
250,0.03,0.8,1.0,123,0.030098,0.425433,0.050953,0.535856,0.60706,0.67757,1.0,1.0,1.0
250,0.03,0.8,0.8,42,0.030098,0.424963,0.049926,0.532278,0.601177,0.64486,1.0,1.0,1.0
250,0.03,0.8,0.8,99,0.030098,0.427779,0.048576,0.530964,0.603514,0.649533,1.0,1.0,1.0
250,0.03,0.8,0.8,123,0.030098,0.423663,0.049577,0.530593,0.600323,0.654206,1.0,1.0,1.0
250,0.05,auto,1.0,42,0.050163,0.44757,0.06318,0.591782,0.660349,0.817757,1.0,1.0,1.0
250,0.05,auto,1.0,99,0.050163,0.450805,0.062137,0.59157,0.662158,0.817757,1.0,1.0,1.0
250,0.05,auto,1.0,123,0.050163,0.448667,0.063641,0.596262,0.667468,0.82243,1.0,1.0,1.0
250,0.05,auto,0.8,42,0.050163,0.449234,0.061741,0.592031,0.663509,0.803738,1.0,1.0,1.0
250,0.05,auto,0.8,99,0.050163,0.447533,0.062348,0.591833,0.662323,0.803738,1.0,1.0,1.0
250,0.05,auto,0.8,123,0.050163,0.449392,0.062326,0.586306,0.658249,0.785047,1.0,1.0,1.0
250,0.05,0.8,1.0,42,0.050163,0.424499,0.050857,0.534111,0.603511,0.658879,1.0,1.0,1.0
250,0.05,0.8,1.0,99,0.050163,0.424242,0.051226,0.535063,0.603809,0.654206,1.0,1.0,1.0
250,0.05,0.8,1.0,123,0.050163,0.425433,0.050953,0.535856,0.60706,0.67757,1.0,1.0,1.0
