threshold,accuracy,precision,recall,f1,predicted_positive_rate,tp,fp,tn,fn
0.1,0.4885057471264368,0.4823529411764706,0.9879518072289156,0.6482213438735178,0.9770114942528736,82,88,3,1
0.15000000000000002,0.5,0.48717948717948717,0.9156626506024096,0.6359832635983264,0.896551724137931,76,80,11,7
0.20000000000000004,0.5344827586206896,0.5068493150684932,0.891566265060241,0.6462882096069869,0.8390804597701149,74,72,19,9
0.25000000000000006,0.5344827586206896,0.5071428571428571,0.8554216867469879,0.6367713004484304,0.8045977011494253,71,69,22,12
0.30000000000000004,0.5632183908045977,0.5284552845528455,0.7831325301204819,0.6310679611650486,0.7068965517241379,65,58,33,18
0.3500000000000001,0.5804597701149425,0.5462962962962963,0.7108433734939759,0.6178010471204188,0.6206896551724138,59,49,42,24
0.40000000000000013,0.5747126436781609,0.5529411764705883,0.5662650602409639,0.5595238095238095,0.4885057471264368,47,38,53,36
0.45000000000000007,0.5689655172413793,0.5526315789473685,0.5060240963855421,0.5283018867924528,0.4367816091954023,42,34,57,41
0.5000000000000001,0.5517241379310345,0.5409836065573771,0.39759036144578314,0.4583333333333333,0.3505747126436782,33,28,63,50
0.5500000000000002,0.5459770114942529,0.5416666666666666,0.3132530120481928,0.3969465648854962,0.27586206896551724,26,22,69,57
0.6000000000000002,0.5632183908045977,0.6060606060606061,0.24096385542168675,0.3448275862068966,0.1896551724137931,20,13,78,63
0.6500000000000001,0.5172413793103449,0.47368421052631576,0.10843373493975904,0.17647058823529413,0.10919540229885058,9,10,81,74
0.7000000000000002,0.5459770114942529,0.7,0.08433734939759036,0.15053763440860216,0.05747126436781609,7,3,88,76
0.7500000000000002,0.5459770114942529,1.0,0.04819277108433735,0.09195402298850575,0.022988505747126436,4,0,91,79
0.8000000000000002,0.5344827586206896,1.0,0.024096385542168676,0.047058823529411764,0.011494252873563218,2,0,91,81
0.8500000000000002,0.5287356321839081,1.0,0.012048192771084338,0.023809523809523808,0.005747126436781609,1,0,91,82
0.9000000000000002,0.5229885057471264,0.0,0.0,0.0,0.0,0,0,91,83
